Date	Open	High	Low	Close
Jul 21, 2016	0.041517	0.042039	0.039902	0.041347
Jul 20, 2016	0.040819	0.042890	0.039238	0.041160
Jul 19, 2016	0.042398	0.042965	0.038823	0.040708
Jul 18, 2016	0.042875	0.043725	0.041298	0.042414
Jul 17, 2016	0.044100	0.046064	0.042147	0.042835
Jul 16, 2016	0.044045	0.046153	0.042248	0.043994
Jul 15, 2016	0.040188	0.046304	0.039973	0.044544
Jul 14, 2016	0.043303	0.043713	0.039904	0.040225
Jul 13, 2016	0.040351	0.043996	0.038943	0.043862
Jul 12, 2016	0.040569	0.043098	0.039631	0.040353
Jul 11, 2016	0.042534	0.044641	0.040096	0.040569
Jul 10, 2016	0.045337	0.046711	0.042040	0.042555
Jul 09, 2016	0.042329	0.049870	0.038960	0.046423
Jul 08, 2016	0.042406	0.045247	0.036849	0.043662
Jul 07, 2016	0.055556	0.056467	0.039186	0.041914
Jul 06, 2016	0.046903	0.059224	0.042757	0.055533
Jul 05, 2016	0.042007	0.048153	0.037816	0.046782
Jul 04, 2016	0.035345	0.045791	0.035259	0.041991
Jul 03, 2016	0.039317	0.039363	0.035302	0.035302
Jul 02, 2016	0.041931	0.041931	0.038494	0.039286
Jul 01, 2016	0.042664	0.043018	0.036713	0.038768
Jun 30, 2016	0.041896	0.044441	0.039329	0.042697
Jun 29, 2016	0.034835	0.043205	0.034645	0.041894
Jun 28, 2016	0.035495	0.035722	0.033097	0.035464
Jun 27, 2016	0.032923	0.036343	0.031846	0.035320
Jun 26, 2016	0.034578	0.035518	0.031835	0.032919
Jun 25, 2016	0.035043	0.036871	0.033074	0.034578
Jun 24, 2016	0.033388	0.036180	0.033269	0.035034
Jun 23, 2016	0.032936	0.035424	0.031914	0.033403
Jun 22, 2016	0.037191	0.038793	0.032703	0.032742
Jun 21, 2016	0.042152	0.042152	0.034862	0.037205
Jun 20, 2016	0.037912	0.046136	0.036756	0.042163
Jun 19, 2016	0.037922	0.038978	0.036108	0.037858
Jun 18, 2016	0.039522	0.040476	0.036980	0.037929
Jun 17, 2016	0.040497	0.048536	0.037970	0.039522
Jun 16, 2016	0.036637	0.040451	0.036637	0.040444
Jun 15, 2016	0.034812	0.037818	0.034370	0.036785
Jun 14, 2016	0.033775	0.037317	0.033775	0.034819
Jun 13, 2016	0.034739	0.036076	0.032909	0.034489
Jun 12, 2016	0.031634	0.035052	0.031055	0.034731
Jun 11, 2016	0.030655	0.033999	0.030655	0.031621
Jun 10, 2016	0.032102	0.032555	0.030569	0.030645
Jun 09, 2016	0.031799	0.032708	0.030653	0.032163
Jun 08, 2016	0.030985	0.032974	0.030985	0.031815
Jun 07, 2016	0.031078	0.032192	0.030578	0.030932
Jun 06, 2016	0.032431	0.032650	0.030883	0.031072
Jun 05, 2016	0.032404	0.032778	0.030983	0.032435
Jun 04, 2016	0.031774	0.034341	0.031774	0.032423
Jun 03, 2016	0.031448	0.032541	0.031208	0.032044
Jun 02, 2016	0.033080	0.033338	0.031374	0.031513
Jun 01, 2016	0.033180	0.033513	0.031910	0.033101
May 31, 2016	0.033897	0.034426	0.032107	0.033183
May 30, 2016	0.036122	0.037946	0.033254	0.033909
May 29, 2016	0.032348	0.040947	0.032348	0.036118
May 28, 2016	0.032803	0.033452	0.029960	0.032360
May 27, 2016	0.030221	0.033862	0.029577	0.032812
May 26, 2016	0.031600	0.031717	0.029864	0.030232
May 25, 2016	0.032063	0.032795	0.031123	0.031603
May 24, 2016	0.031929	0.033941	0.031787	0.032323
May 23, 2016	0.034010	0.034516	0.031881	0.031931
May 22, 2016	0.034353	0.034998	0.033885	0.034015
May 21, 2016	0.034624	0.035725	0.033955	0.034355
May 20, 2016	0.034831	0.035996	0.033816	0.034605
May 19, 2016	0.035731	0.036498	0.034689	0.034869
May 18, 2016	0.035530	0.036985	0.035157	0.035735
May 17, 2016	0.038609	0.038666	0.035015	0.035748
May 16, 2016	0.036082	0.038920	0.035305	0.037674
May 15, 2016	0.033906	0.036137	0.033888	0.036081
May 14, 2016	0.036166	0.036450	0.033904	0.033904
May 13, 2016	0.036424	0.037583	0.035835	0.036167
May 12, 2016	0.038573	0.038573	0.036356	0.036430
May 11, 2016	0.038497	0.038715	0.037623	0.038577
May 10, 2016	0.039385	0.040385	0.037507	0.038495
May 09, 2016	0.038920	0.040536	0.038715	0.039386
May 08, 2016	0.039470	0.040675	0.038666	0.038929
May 07, 2016	0.044425	0.044436	0.039329	0.039469
May 06, 2016	0.045266	0.045465	0.043561	0.044424
May 05, 2016	0.044714	0.045722	0.043839	0.045264
May 04, 2016	0.046545	0.047278	0.044469	0.044714
May 03, 2016	0.050020	0.050620	0.045770	0.046547
May 02, 2016	0.045942	0.054408	0.045536	0.050688
May 01, 2016	0.046266	0.046870	0.045159	0.045914
Apr 30, 2016	0.045785	0.047150	0.045276	0.046266
Apr 29, 2016	0.045878	0.047376	0.043600	0.045793
Apr 28, 2016	0.046950	0.048027	0.045609	0.045886
Apr 27, 2016	0.046351	0.048844	0.045717	0.046570
Apr 26, 2016	0.047546	0.049559	0.045776	0.046344
Apr 25, 2016	0.050710	0.052099	0.045034	0.047560
Apr 24, 2016	0.052959	0.054116	0.049267	0.050699
Apr 23, 2016	0.061543	0.062640	0.052629	0.052958
Apr 22, 2016	0.069973	0.070051	0.060641	0.061544
Apr 21, 2016	0.071013	0.077888	0.062179	0.069963
Apr 20, 2016	0.072665	0.084735	0.071011	0.071011
Apr 19, 2016	0.064583	0.088121	0.060376	0.073164
Apr 18, 2016	0.059872	0.068354	0.059851	0.064508
Apr 17, 2016	0.053628	0.071932	0.053628	0.059858
