"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"02 ENE2009",1.3866,126.6400,1.4874,0.96100,10.8425,7.4499,9.6950,1.6942,1.9884,2.3969,0.9027,"_",26.8250,265.4800,4.1638,15.6466,"_","_",0.7083,4.0350,1.9558,67.1250,2.1380,3.4528,10.7472,2.0265,13.0618,1833.0900,9.4608,7.3346,15391.2600,4.8080,65.3100,40.7819,48.2120,19.1718,3.2456
"05 ENE2009",1.3582,126.8100,1.5060,0.93580,10.7075,7.4488,9.3950,1.6475,1.9189,2.3301,0.8939,"_",26.7600,267.1300,4.1360,15.6466,"_","_",0.7070,4.0490,1.9558,65.8930,2.0897,3.4528,10.5303,1.9987,12.8655,1799.5200,9.2781,7.3026,15076.0200,4.7503,64.0800,39.5915,47.4620,18.5292,3.1619
"06 ENE2009",1.3332,125.8400,1.5018,0.91760,10.5675,7.4530,9.3850,1.5850,1.8727,2.2700,0.8853,"_",26.4100,266.6700,4.0200,15.6466,"_","_",0.7070,4.0675,1.9558,64.8270,2.0256,3.4528,10.3369,1.9719,12.4521,1753.5800,9.1138,7.2835,14665.2000,4.6789,62.5700,38.8859,46.7550,17.7949,2.9517
"07 ENE2009",1.3595,126.7700,1.5006,0.90430,10.5763,7.4522,9.3915,1.6061,1.8831,2.2717,0.8928,"_",26.1170,266.1400,3.9747,15.6466,"_","_",0.7069,4.0995,1.9558,66.3640,2.0672,3.4528,10.5398,1.9990,12.7150,1780.1300,9.2908,7.3019,14750.5800,4.7589,63.1500,39.9068,47.3510,18.2717,2.9977
"08 ENE2009",1.3617,124.3400,1.4941,0.89330,10.7120,7.4529,9.4825,1.6344,1.9357,2.3103,0.8928,"_",26.1980,271.7700,4.0315,15.6466,"_","_",0.7069,4.1618,1.9558,65.9270,2.1232,3.4528,10.5586,2.0181,13.1336,1817.1900,9.3068,7.3096,15019.5500,4.8211,63.7300,41.4700,47.5640,18.4054,3.0902
"09 ENE2009",1.3684,124.4000,1.4998,0.89480,10.7215,7.4523,9.4975,1.6186,1.9371,2.3160,0.8913,"_",26.4600,276.1300,4.0445,15.6466,"_","_",0.7066,4.2323,1.9558,65.9360,2.1212,3.4528,10.6150,2.0252,13.2321,1843.9200,9.3538,7.3212,15035.9800,4.8448,64.5200,41.5613,47.6750,18.7676,3.1228
"12 ENE2009",1.3394,120.4800,1.5005,0.89560,10.7605,7.4527,9.4130,1.6021,1.9478,2.3103,0.8802,"_",26.5700,279.4000,4.0430,15.6466,"_","_",0.7058,4.2770,1.9558,65.4230,2.1114,3.4528,10.3867,1.9898,13.4237,1830.9300,9.1575,7.3413,14967.8000,4.7837,63.6900,41.6005,46.8190,18.3766,3.0656
"13 ENE2009",1.3262,118.5400,1.4858,0.91120,10.9242,7.4520,9.4575,1.6320,1.9874,2.3997,0.8753,"_",26.7650,277.7300,4.1418,15.6466,"_","_",0.7051,4.2813,1.9558,64.8840,2.1233,3.4528,10.2852,1.9754,13.3684,1811.0600,9.0634,7.3418,14935.6600,4.7458,63.0100,41.4113,46.2980,18.4262,3.0785
"14 ENE2009",1.3173,117.6600,1.4761,0.90830,10.9475,7.4508,9.4310,1.6144,1.9769,2.4262,0.8714,"_",26.9170,277.4500,4.1440,15.6466,"_","_",0.7050,4.2880,1.9558,64.0270,2.1085,3.4528,10.2177,1.9664,13.2389,1777.4300,9.0040,7.3347,14657.6000,4.7061,62.0800,41.8400,45.9870,18.2710,3.0598
"15 ENE2009",1.3085,116.9700,1.4725,0.89660,10.9925,7.4512,9.4275,1.6373,1.9818,2.4380,0.8660,"_",27.3080,281.4500,4.2296,15.6466,"_","_",0.7043,4.3000,1.9558,63.8290,2.1197,3.4528,10.1552,1.9598,13.3300,1816.1600,8.9453,7.3645,14727.1700,4.7027,62.0200,42.2892,45.6600,18.6200,3.1307
